"","DATE","WSR_PK","WSR_AV","T_PK","T85","RH85","U85","V85","T70","U70","V70","T50","RH50","U50","V50","SLP","Precp","OzoneDay1hPeak","Oz8h","WSR.vect","T.vect"
"33",1998-02-02,0.46,0.39,0.372,0.515822784810126,0.86,-0.0326,0.0568,0.411877394636015,0.004,-0.0184,0.363636363636364,0.69,0.043,0.2004,0.253333333333333,0.039225181598063,"0","0","6","1"
"34",1998-02-03,0.56,0.32,0.49,0.45253164556962,0.79,-0.0864,-0.2946,0.379310344827586,-0.049,-0.2598,0.341991341991342,0.31,0.0362,-0.1976,0.32,0,"0","0","3","4"
"35",1998-02-04,0.34,0.17,0.456,0.382911392405063,0.53,0.0318,-0.1958,0.373563218390805,0.2072,-0.2928,0.393939393939394,0.33,0.4688,-0.2462,0.413333333333333,0,"0","0","2","4"
"36",1998-02-05,0.29,0.14,0.294,0.329113924050633,0.31,-0.0092,-0.05,0.339080459770115,0.258,0.008,0.316017316017316,0.17,0.4208,0.0454,0.413333333333333,0.0256658595641647,"0","0","6","1"
"37",1998-02-06,0.52,0.3,0.364,0.272151898734177,0.8,0.0984,-0.118,0.137931034482759,0.178,-0.0756,0.0822510822510823,0.32,0.303,0.0248,0.453333333333333,0,"0","0","3","4"
"38",1998-02-07,0.38,0.19,0.408,0.213607594936709,0.6,0.0526,-0.1286,0.172413793103448,0.2948,-0.2246,0.238095238095238,0.22,0.4756,-0.2938,0.506666666666667,0,"0","0","6","4"
"39",1998-02-08,0.42,0.17,0.512,0.335443037974684,0.41,0.1524,-0.0734,0.28735632183908,0.3398,-0.2122,0.264069264069264,0.22,0.4478,-0.1826,0.506666666666667,0,"0","0","4","2"
"40",1998-02-09,0.53,0.27,0.592,0.458860759493671,0.64,0.1982,0.1216,0.404214559386973,0.3374,-0.1386,0.350649350649351,0.18,0.5326,-0.2,0.48,0,"0","0","6","2"
"41",1998-02-10,0.72,0.4,0.492,0.506329113924051,0.92,0.0624,0.1962,0.486590038314176,0.2786,0.2536,0.329004329004329,0.38,0.4794,0.1794,0.413333333333333,0.0997578692493947,"0","0","5","7"
"42",1998-02-11,0.46,0.26,0.458,0.474683544303797,0.48,0.3712,-0.107,0.310344827586207,0.4808,0.093,0.480519480519481,0.56,0.6342,0.323,0.346666666666667,0,"0","0","6","4"
"43",1998-02-12,0.46,0.21,0.476,0.411392405063291,0.21,0.1054,-0.132,0.396551724137931,0.3224,-0.0564,0.372294372294372,0.18,0.5086,0.0934,0.506666666666667,0,"0","0","4","8"
"44",1998-02-13,0.27,0.14,0.492,0.367088607594937,0.45,0.0524,-0.0062,0.203065134099617,0.3176,0.0278,0.173160173160173,0.25,0.523,0.0176,0.506666666666667,0,"0","0","2","2"
"45",1998-02-14,0.55,0.25,0.452,0.370253164556962,0.57,0.0038,-0.0628,0.517241379310345,0.2742,-0.016,0.415584415584416,0.44,0.3268,0.0132,0.56,0.00726392251815981,"0","0","5","2"
"46",1998-02-15,0.46,0.3,0.378,0.430379746835443,0.56,-0.2588,0.1354,0.413793103448276,-0.0094,0.2198,0.458874458874459,0.83,0.106,0.186,0.413333333333333,0,"0","0","3","1"
"47",1998-02-16,0.75,0.18,0.43,0.509493670886076,0.59,0.0942,0.094,0.385057471264368,0.195,0.0362,0.341991341991342,0.14,0.271,0.1462,0.106666666666667,0.121549636803874,"0","0","5","7"
"48",1998-02-17,0.66,0.33,0.386,0.430379746835443,0.53,0.2964,0.037,0.222222222222222,0.3672,0.1396,0.108225108225108,0.54,0.4992,0.3556,0.0666666666666667,0,"0","0","3","4"
"49",1998-02-18,0.37,0.17,0.468,0.424050632911392,0.4,0.2394,-0.078,0.404214559386973,0.397,-0.0214,0.272727272727273,0.17,0.4942,0.0196,0.346666666666667,0.00484261501210654,"0","0","4","4"
"50",1998-02-19,0.55,0.29,0.506,0.493670886075949,0.41,0.1526,0.0112,0.298850574712644,0.2154,0.117,0.337662337662338,0.53,0.5648,0.3572,0.426666666666667,0.0135593220338983,"0","0","5","4"
"51",1998-02-20,0.29,0.14,0.502,0.427215189873418,0.47,0.1874,-0.0762,0.28735632183908,0.3644,-0.0264,0.246753246753247,0.2,0.5464,0.037,0.453333333333333,0,"0","0","2","4"
"52",1998-02-21,0.62,0.33,0.438,0.401898734177215,0.45,-0.0086,-0.0232,0.513409961685824,0.2682,0.0292,0.411255411255411,0.2,0.5512,0.0554,0.52,0.173365617433414,"0","0","5","6"
"53",1998-02-22,0.61,0.35,0.376,0.471518987341772,0.53,-0.007,0.1598,0.362068965517241,0.2158,0.2252,0.380952380952381,0.57,0.0662,0.3494,0.253333333333333,0.0358353510895884,"0","0","3","2"
"54",1998-02-23,0.31,0.15,0.538,0.424050632911392,0.61,0.2048,-0.2202,0.42911877394636,0.3834,-0.2684,0.385281385281385,0.14,0.5918,-0.276,0.36,0,"0","0","4","4"
"55",1998-02-24,0.54,0.31,0.586,0.582278481012658,0.34,0.1494,-0.1306,0.57088122605364,0.245,-0.1488,0.562770562770563,0.25,0.5102,-0.2192,0.56,0,"0","0","6","2"
"56",1998-02-25,0.72,0.52,0.578,0.670886075949367,0.24,0.042,0.2028,0.666666666666667,0.1904,0.107,0.619047619047619,0.21,0.3538,0.0784,0.48,0,"0","0","5","5"
"57",1998-02-26,0.68,0.31,0.522,0.569620253164557,0.7,0.0848,0.3012,0.513409961685824,0.1284,0.2694,0.471861471861472,0.21,0.3378,0.441,0.2,0.185956416464891,"0","0","5","8"
"58",1998-02-27,0.33,0.11,0.524,0.462025316455696,0.3,0.2492,-0.0212,0.337164750957854,0.5642,0.1522,0.45021645021645,0.53,0.7216,0.3704,0.2,0,"0","0","2","8"
"59",1998-02-28,0.4,0.21,0.446,0.40506329113924,0.41,0.1276,0.0076,0.237547892720307,0.3672,0.104,0.246753246753247,0.24,0.6982,0.3886,0.32,0,"0","0","2","2"
"60",1998-03-01,0.53,0.19,0.446,0.305379746835443,0.33,0.2288,-0.012,0.130268199233716,0.3714,0.0364,0.329004329004329,0.29,0.45,0.0518,0.453333333333333,0,"0","0","4","6"
"61",1998-03-02,0.51,0.22,0.474,0.284810126582278,0.2,0.1524,-0.136,0,0.3686,-0.1666,0.190476190476191,0.17,0.6772,0.024,0.48,0,"0","0","4","6"
"62",1998-03-03,0.34,0.17,0.432,0.284810126582278,0.33,0.2522,-0.1874,0.0804597701149425,0.4402,-0.185,0.294372294372294,0.25,0.6932,-0.15,0.506666666666667,0,"0","0","3","4"
"63",1998-03-04,0.56,0.37,0.532,0.411392405063291,0.61,0.2036,-0.0174,0.28735632183908,0.2978,-0.1038,0.316017316017316,0.24,0.5726,-0.1842,0.466666666666667,0,"0","0","6","5"
"64",1998-03-05,0.42,0.27,0.666,0.569620253164557,0.77,0.1764,0.1934,0.444444444444444,0.2114,0.151,0.402597402597403,0.08,0.4176,-0.0586,0.36,0,"0","0","3","5"
"65",1998-03-06,0.32,0.26,0.506,0.629746835443038,0.74,0.0594,0.062,0.590038314176245,0.2114,0.0238,0.45021645021645,0.32,0.3792,8e-04,0.346666666666667,0.00145278450363196,"0","0","6","1"
"66",1998-03-07,0.64,0.26,0.602,0.693037974683544,0.95,0.0482,0.2008,0.590038314176245,0.1954,0.2612,0.467532467532468,0.82,0.3424,0.2874,0.2,0.00242130750605327,"0","0","5","7"
"67",1998-03-08,0.96,0.64,0.378,0.582278481012658,0.79,0.2026,0.088,0.517241379310345,0.2358,0.323,0.476190476190476,0.24,0.4742,0.4986,0.0533333333333333,0.00242130750605327,"0","0","5","8"
"68",1998-03-09,0.61,0.46,0.36,0.213607594936709,0.68,0.265,-0.2392,0.340996168582375,0.4422,-0.1402,0.242424242424242,0.27,0.6342,-0.15,0.413333333333333,0,"0","0","3","1"
"69",1998-03-10,0.45,0.28,0.356,0.291139240506329,0.17,0.1182,-0.2578,0.256704980842912,0.3604,-0.1862,0.346320346320346,0.16,0.6476,-0.0864,0.746666666666667,0,"0","0","6","4"
"70",1998-03-11,0.32,0.15,0.416,0.281645569620253,0.27,0.0892,-0.1912,0.134099616858238,0.2884,-0.2046,0.32034632034632,0.16,0.5368,-0.1174,0.906666666666667,0,"0","0","2","6"
"71",1998-03-12,0.39,0.24,0.298,0.420886075949367,0.39,0.0774,0.0628,0.333333333333333,0.2974,0.035,0.428571428571429,0.45,0.3834,-0.0276,0.733333333333333,0.00145278450363196,"0","0","6","1"
"72",1998-03-13,0.45,0.29,0.394,0.319620253164557,0.62,0.0662,-0.08,0.218390804597701,0.304,-0.1082,0.242424242424242,0.27,0.3994,-0.035,0.893333333333333,0.0174334140435835,"0","0","6","1"
"73",1998-03-14,0.5,0.31,0.458,0.44620253164557,0.75,0.0356,0.1108,0.279693486590038,0.1496,-0.0496,0.316017316017316,0.55,0.2646,-0.0248,0.786666666666667,0.0600484261501211,"0","0","6","5"
"74",1998-03-15,0.65,0.52,0.494,0.503164556962025,0.47,-0.0606,0.1822,0.396551724137931,0.1026,0.076,0.437229437229437,0.29,0.4068,-0.0558,0.693333333333333,0,"0","0","6","1"
"75",1998-03-16,0.7,0.34,0.552,0.594936708860759,0.4,-0.0906,0.3692,0.509578544061303,0.1548,0.3876,0.463203463203463,0.36,0.264,0.2554,0.466666666666667,0.185956416464891,"0","0","5","7"
"76",1998-03-17,0.41,0.18,0.584,0.572784810126582,0.41,0.1488,0.0186,0.478927203065134,0.3648,0.2652,0.432900432900433,0.48,0.4948,0.4652,0.253333333333333,0,"0","0","4","6"
"77",1998-03-18,0.48,0.26,0.592,0.642405063291139,0.3,0.0942,0.0864,0.498084291187739,0.2624,0.1164,0.489177489177489,0.17,0.4628,0.2962,0.333333333333333,0,"0","0","5","2"
"78",1998-03-19,0.79,0.48,0.532,0.651898734177215,0.79,0.0096,0.081,0.486590038314176,0.1464,0.0844,0.402597402597403,0.18,0.3838,0.1426,0.293333333333333,0.0062953995157385,"0","0","5","7"
"79",1998-03-20,0.55,0.38,0.394,0.420886075949367,0.39,0.0662,0.0886,0.281609195402299,0.2442,0.0052,0.333333333333333,0.11,0.421,-0.0224,0.6,0,"0","0","3","4"
"80",1998-03-21,0.34,0.19,0.472,0.395569620253165,0.34,0.1566,-0.2506,0.396551724137931,0.2782,-0.2278,0.484848484848485,0.18,0.5444,-0.1706,0.48,0,"0","0","6","6"
"81",1998-03-22,0.31,0.13,0.532,0.367088607594937,0.09,0.0572,-0.1758,0.339080459770115,0.1286,-0.1532,0.294372294372294,0.1,0.2498,-0.1278,0.493333333333333,0,"0","0","2","6"
"82",1998-03-23,0.44,0.27,0.598,0.449367088607595,0.37,0.0058,-0.0308,0.310344827586207,0.0732,-0.1878,0.307359307359307,0.23,0.1798,-0.2928,0.533333333333333,0,"0","0","6","6"
"83",1998-03-24,0.52,0.32,0.598,0.670886075949367,0.75,0.0412,0.0662,0.555555555555556,0.1272,0.0282,0.528138528138528,0.16,0.1394,-0.0144,0.546666666666667,0,"0","0","6","5"
"84",1998-03-25,0.59,0.38,0.588,0.674050632911392,0.19,0.0228,0.1834,0.57088122605364,0.0962,0.041,0.545454545454546,0.09,0.1684,-0.2008,0.613333333333333,0,"0","0","6","5"
"85",1998-03-26,0.72,0.55,0.6,0.645569620253164,0.11,0,0.268,0.624521072796935,0.047,0.1946,0.670995670995671,0.17,0.2054,-0.1044,0.68,0,"0","0","6","5"
"86",1998-03-27,0.72,0.51,0.612,0.664556962025316,0.36,-0.0376,0.3058,0.659003831417624,0.09,0.3098,0.718614718614719,0.18,0.148,0.1914,0.546666666666667,0,"0","0","3","5"
"87",1998-03-28,0.47,0.34,0.65,0.620253164556962,0.88,0.152,0.2562,0.616858237547893,0.1656,0.1738,0.632034632034632,0.07,0.3884,0.1638,0.44,0,"0","0","6","5"
"88",1998-03-29,0.68,0.48,0.656,0.65506329113924,0.61,-0.0176,0.222,0.777777777777778,0.093,0.1524,0.601731601731602,0.09,0.2264,0.0678,0.426666666666667,0,"0","0","6","7"
"89",1998-03-30,0.79,0.59,0.636,0.674050632911392,0.65,-0.0144,0.3034,0.812260536398468,0.0456,0.2158,0.688311688311688,0.01,0.1562,0.1562,0.373333333333333,0,"0","0","6","5"
"90",1998-03-31,0.51,0.27,0.568,0.712025316455696,0.77,0.1364,0.4104,0.609195402298851,0.1978,0.3122,0.632034632034632,0.12,0.3944,0.3608,0.24,0.00871670702179177,"0","0","3","8"
"91",1998-04-01,0.42,0.14,0.634,0.674050632911392,0.62,-0.0098,-0.0106,0.601532567049808,0.0966,-0.026,0.653679653679654,0.05,0.1014,-0.1018,0.653333333333333,0,"0","0","4","6"
"92",1998-04-02,0.2,0.11,0.53,0.642405063291139,0.52,0.0674,0.1096,0.659003831417624,0.1878,0.1,0.640692640692641,0.05,0.4358,0.1048,0.426666666666667,0,"0","0","2","2"
"93",1998-04-03,0.54,0.33,0.654,0.677215189873418,0.72,0.1004,0.1534,0.743295019157088,0.2976,0.187,0.614718614718615,0.02,0.5016,0.22,0.333333333333333,0,"0","0","3","6"
"94",1998-04-04,0.34,0.22,0.56,0.632911392405063,0.23,0.126,-0.157,0.689655172413793,0.353,-0.0232,0.567099567099567,0.12,0.4802,0.0428,0.386666666666667,0,"0","0","3","6"
"95",1998-04-05,0.36,0.22,0.544,0.585443037974684,0.13,0.0568,-0.109,0.613026819923372,0.2498,-0.212,0.584415584415584,0.1,0.4182,-0.078,0.44,0,"0","1","3","6"
"96",1998-04-06,0.61,0.29,0.546,0.699367088607595,0.04,-0.0146,0.0438,0.655172413793103,0.1206,0.0236,0.632034632034632,0.05,0.4154,-0.0364,0.426666666666667,0,"0","0","6","5"
"97",1998-04-07,0.39,0.21,0.698,0.661392405063291,0.72,0.1066,0.149,0.716475095785441,0.2834,0.1052,0.588744588744589,0.39,0.6528,0.2056,0.293333333333333,0,"0","0","2","6"
"98",1998-04-08,0.65,0.33,0.688,0.841772151898734,0.02,0.0718,0.154,0.697318007662835,0.2602,0.1132,0.567099567099567,0.03,0.548,0.2742,0.226666666666667,0,"0","0","5","5"
"99",1998-04-09,0.48,0.23,0.582,0.617088607594937,0.4,0.213,-0.1786,0.620689655172414,0.5078,0.0176,0.61038961038961,0.07,0.6342,0.1326,0.306666666666667,0,"0","0","3","6"
"100",1998-04-10,0.35,0.16,0.606,0.537974683544304,0.2,0.1296,-0.2512,0.436781609195402,0.3012,-0.3074,0.497835497835498,0.12,0.6328,-0.1048,0.533333333333333,0,"0","0","6","6"
"101",1998-04-11,0.49,0.26,0.592,0.550632911392405,0.28,0.051,-0.177,0.423371647509579,0.1128,-0.281,0.562770562770563,0.15,0.3454,-0.2454,0.653333333333333,0,"0","1","6","6"
"102",1998-04-12,0.67,0.45,0.574,0.674050632911392,0.75,0.0224,0.1996,0.620689655172414,0.1446,0.0504,0.541125541125541,0.3,0.2664,-0.051,0.56,0,"0","0","6","5"
"103",1998-04-13,0.55,0.29,0.576,0.60126582278481,0.49,0.09,0.2898,0.735632183908046,0.1626,0.0914,0.601731601731602,0.09,0.3976,-0.0066,0.466666666666667,0,"0","0","3","5"
"104",1998-04-14,0.44,0.28,0.632,0.617088607594937,0.97,0.1176,0.1672,0.647509578544061,0.2346,-0.0142,0.584415584415584,0.22,0.3994,0.103,0.413333333333333,0,"0","0","6","5"
"105",1998-04-15,0.41,0.32,0.638,0.686708860759494,0.55,0.0212,0.203,0.693486590038314,0.1476,0.0744,0.696969696969697,0.05,0.4644,-0.0412,0.333333333333333,0,"0","0","6","5"
"106",1998-04-16,0.48,0.3,0.696,0.806962025316456,0.36,0.1152,0.2514,0.78544061302682,0.3124,0.251,0.692640692640693,0.34,0.5266,0.2594,0.186666666666667,0,"0","0","5","5"
"107",1998-04-17,0.49,0.36,0.482,0.765822784810127,0.58,0.0386,-0.0162,0.762452107279693,0.3006,0.2278,0.588744588744589,0.9,0.4764,0.3686,0.306666666666667,0.00484261501210654,"0","0","3","1"
"108",1998-04-18,0.34,0.21,0.386,0.64873417721519,0.78,0.033,-0.019,0.578544061302682,0.1992,0.2282,0.588744588744589,0.61,0.362,0.5678,0.426666666666667,0.0416464891041162,"0","0","2","1"
"109",1998-04-19,0.37,0.21,0.564,0.490506329113924,0.56,0.1528,-0.0992,0.400383141762452,0.2038,0.0814,0.619047619047619,0.45,0.5118,0.2452,0.453333333333333,0,"0","0","6","4"
"110",1998-04-20,0.31,0.16,0.584,0.44620253164557,0.53,-0.0458,-0.1088,0.381226053639847,0.1046,-0.1128,0.506493506493507,0.31,0.4072,0.0522,0.546666666666667,0,"0","1","3","6"
"111",1998-04-21,0.51,0.29,0.528,0.471518987341772,0.62,-0.0156,-0.1018,0.404214559386973,0.1722,-0.0442,0.398268398268398,0.54,0.3848,-0.0466,0.573333333333333,0,"0","0","3","8"
"112",1998-04-22,0.41,0.18,0.586,0.408227848101266,0.54,0.075,-0.181,0.272030651340996,0.2448,-0.2538,0.311688311688312,0.14,0.639,-0.298,0.613333333333333,0,"0","0","4","6"
"113",1998-04-23,0.34,0.15,0.626,0.424050632911392,0.43,0.0636,-0.1352,0.222222222222222,0.2224,-0.2386,0.294372294372294,0.14,0.3356,-0.3598,0.586666666666667,0,"0","1","4","6"
"114",1998-04-24,0.46,0.31,0.64,0.465189873417722,0.48,0.0392,-0.048,0.421455938697318,0.1028,-0.319,0.406926406926407,0.15,0.2036,-0.3438,0.573333333333333,0,"0","0","6","5"
"115",1998-04-25,0.55,0.42,0.602,0.591772151898734,0.58,0.0344,0.1006,0.582375478927203,-0.0572,-0.0556,0.606060606060606,0.13,0.1844,-0.1192,0.506666666666667,0,"0","1","6","5"
"116",1998-04-26,0.5,0.38,0.576,0.598101265822785,0.31,0.056,0.2454,0.71264367816092,0.193,0.1446,0.70995670995671,0.18,0.3444,0.0152,0.413333333333333,0,"0","0","6","5"
"117",1998-04-27,0.35,0.23,0.626,0.689873417721519,0.65,0.0954,0.213,0.582375478927203,0.1666,0.1654,0.558441558441558,0.02,0.376,0.2458,0.36,0.0997578692493947,"0","0","3","7"
"118",1998-04-28,0.44,0.25,0.566,0.65506329113924,0.97,0.0812,0.1012,0.567049808429119,0.1942,0.2828,0.536796536796537,0.18,0.351,0.201,0.386666666666667,0.00242130750605327,"0","0","3","4"
"119",1998-04-29,0.43,0.25,0.574,0.579113924050633,0.96,-0.0428,0.011,0.501915708812261,0.1052,0.0976,0.510822510822511,0.45,0.273,0.278,0.48,0,"0","0","3","6"
"120",1998-04-30,0.33,0.16,0.678,0.617088607594937,0.49,0.093,-0.0442,0.498084291187739,0.1388,0.0036,0.41991341991342,0.22,0.3428,0.1174,0.453333333333333,0,"1","1","6","6"
"121",1998-05-01,0.5,0.26,0.734,0.677215189873418,0.4,0.2386,-0.0296,0.421455938697318,0.2368,-0.0862,0.350649350649351,0.21,0.3234,-0.0212,0.373333333333333,0,"0","1","6","6"
"122",1998-05-02,0.51,0.23,0.694,0.718354430379747,0.58,0.1716,-0.0672,0.53639846743295,0.2598,-0.1028,0.359307359307359,0.16,0.2576,-0.1776,0.32,0,"0","0","5","8"
"123",1998-05-03,0.37,0.18,0.706,0.753164556962025,0.4,0.1934,0.059,0.555555555555556,0.331,-0.1086,0.38961038961039,0.58,0.3368,-0.2728,0.333333333333333,0,"0","1","3","5"
"124",1998-05-04,0.42,0.25,0.682,0.683544303797468,0.81,0.1032,-0.0942,0.616858237547893,0.2732,-0.0784,0.41991341991342,0.55,0.406,-0.1478,0.346666666666667,0,"0","1","6","6"
"125",1998-05-05,0.36,0.25,0.628,0.791139240506329,0.25,0.09,-0.0694,0.620689655172414,0.1306,-0.0462,0.545454545454546,0.13,0.3706,-0.2414,0.333333333333333,0,"0","0","6","5"
"126",1998-05-06,0.34,0.23,0.734,0.778481012658228,0.74,0.074,0.1352,0.697318007662835,0.203,0.0786,0.666666666666667,0.06,0.4128,-0.192,0.293333333333333,0,"0","0","3","5"
"127",1998-05-07,0.32,0.2,0.81,0.965189873417721,0.28,0.1526,0.074,0.800766283524904,0.2354,-0.0932,0.787878787878788,0.18,0.4318,-0.1352,0.24,0,"1","1","3","7"
"128",1998-05-08,0.62,0.36,0.74,0.949367088607595,0.23,0.2136,0.0502,0.846743295019157,0.3224,0.0264,0.74025974025974,0.15,0.5,-0.0456,0.24,0,"0","1","6","7"
"129",1998-05-09,0.5,0.24,0.78,0.933544303797468,0.24,0.0888,0.2084,0.842911877394636,0.2982,0.2748,0.67965367965368,0.49,0.4434,0.1808,0.186666666666667,0,"0","0","5","6"
"130",1998-05-10,0.44,0.25,0.716,0.810126582278481,0.41,0.2736,-0.13,0.796934865900383,0.3576,-0.0126,0.792207792207792,0.13,0.5798,0.0852,0.24,0,"0","1","3","6"
"131",1998-05-11,0.43,0.23,0.714,0.727848101265823,0.45,0.0564,-0.155,0.704980842911877,0.2068,-0.2682,0.692640692640693,0.14,0.4816,-0.123,0.36,0,"1","1","6","6"
